time_s,true_azimuth_deg,gimbal_azimuth_deg,pointing_error_deg,motor_current_A,temperature_C,battery_V
24.84,12.498,16.365,-3.867,0.654,-14.69,12.365
24.89,11.93,15.602,-3.672,0.746,-14.7,12.365
24.94,11.393,14.889,-3.497,0.52,-14.7,12.365
24.99,10.888,14.174,-3.285,0.648,-14.7,12.365
25.04,10.417,13.591,-3.174,0.235,-14.7,12.365
25.09,9.979,12.913,-2.934,0.838,-14.7,12.364
25.14,9.575,12.241,-2.665,0.599,-14.71,12.364
25.19,9.205,11.553,-2.348,0.656,-14.71,12.364
25.24,8.869,10.967,-2.098,0.313,-14.71,12.364
25.29,8.566,10.358,-1.792,0.621,-14.71,12.364
25.34,8.295,9.762,-1.466,0.526,-14.71,12.364
25.39,8.057,9.137,-1.08,0.645,-14.72,12.364
25.44,7.85,8.73,-0.88,0.384,-14.72,12.364
25.49,7.673,8.366,-0.693,0.293,-14.72,12.364
25.54,7.525,8.018,-0.493,0.346,-14.72,12.364
25.59,7.404,7.703,-0.299,0.284,-14.73,12.364
25.64,7.309,7.287,0.022,0.671,-14.73,12.363
25.69,7.239,7.001,0.238,0.263,-14.73,12.363
25.74,7.19,6.869,0.321,0.431,-14.73,12.363
25.79,7.162,6.772,0.391,0.169,-14.73,12.363
25.84,7.153,6.542,0.611,0.615,-14.74,12.363
25.89,7.159,6.487,0.672,0.532,-14.74,12.363
25.94,7.179,6.348,0.831,0.44,-14.74,12.363
25.99,7.211,6.307,0.903,0.361,-14.74,12.363
26.04,7.251,6.301,0.95,0.233,-14.74,12.363
26.09,7.298,6.219,1.079,0.381,-14.75,12.363
26.14,7.349,6.177,1.172,0.219,-14.75,12.363
26.19,7.401,6.129,1.273,0.193,-14.75,12.363
26.24,7.452,6.125,1.327,0.258,-14.75,12.363
26.29,7.5,6.227,1.273,0.47,-14.75,12.362
26.34,7.54,6.266,1.274,0.263,-14.76,12.362
26.39,7.572,6.383,1.19,0.413,-14.76,12.362
26.44,7.593,6.414,1.179,0.326,-14.76,12.362
26.49,7.599,6.344,1.254,0.434,-14.76,12.362
26.54,7.589,6.341,1.247,0.305,-14.77,12.362
26.59,7.56,6.457,1.103,0.511,-14.77,12.362
26.64,7.509,6.575,0.935,0.238,-14.77,12.362
26.69,7.436,6.636,0.8,0.241,-14.77,12.362
26.74,7.338,6.653,0.684,0.244,-14.77,12.362
26.79,7.212,6.726,0.486,0.33,-14.78,12.362
26.84,7.057,6.785,0.273,0.157,-14.78,12.362
26.89,6.872,6.77,0.101,0.336,-14.78,12.361
26.94,6.654,6.774,-0.119,0.19,-14.78,12.361
26.99,6.403,6.758,-0.355,0.21,-14.79,12.361
27.05,6.118,6.716,-0.599,0.245,-14.79,12.361
27.1,5.796,6.597,-0.801,0.423,-14.79,12.361
27.15,5.438,6.424,-0.986,0.403,-14.79,12.361
27.2,5.043,6.198,-1.155,0.44,-14.8,12.361
27.25,4.61,5.945,-1.336,0.397,-14.8,12.361
27.3,4.139,5.668,-1.53,0.409,-14.8,12.361
27.35,3.63,5.302,-1.672,0.628,-14.8,12.361
27.4,3.083,4.892,-1.81,0.546,-14.8,12.361
27.45,2.498,4.434,-1.936,0.595,-14.81,12.361
27.5,1.876,3.913,-2.037,0.674,-14.81,12.36
27.55,1.218,3.362,-2.145,0.618,-14.81,12.36
27.6,0.524,2.794,-2.27,0.601,-14.81,12.36
27.65,-0.205,2.229,-2.434,0.551,-14.82,12.36
27.7,-0.967,1.619,-2.586,0.695,-14.82,12.36
27.75,-1.761,0.91,-2.671,0.893,-14.82,12.36
27.8,-2.585,0.235,-2.82,0.557,-14.82,12.36
27.85,-3.438,-0.552,-2.886,0.978,-14.83,12.36
27.9,-4.318,-1.431,-2.887,0.998,-14.83,12.36
27.95,-5.223,-2.172,-3.05,0.362,-14.83,12.36
28.0,-6.15,-2.959,-3.191,0.824,-14.83,12.359
28.05,-7.097,-3.77,-3.327,0.792,-14.83,12.359
28.1,-8.062,-4.486,-3.576,0.444,-14.84,12.359
28.15,-9.043,-5.29,-3.753,0.938,-14.84,12.359
28.2,-10.036,-6.075,-3.962,0.673,-14.84,12.359
28.25,-11.04,-6.952,-4.088,1.0,-14.84,12.359
28.3,-12.051,-7.905,-4.145,1.016,-14.85,12.359
28.35,-13.066,-8.819,-4.247,0.715,-14.85,12.359
28.4,-14.083,-9.748,-4.334,0.857,-14.85,12.359
28.45,-15.098,-10.742,-4.357,1.016,-14.85,12.358
28.5,-16.11,-11.784,-4.326,1.016,-14.86,12.358
28.55,-17.115,-12.792,-4.323,0.793,-14.86,12.358
28.6,-18.109,-13.845,-4.264,1.016,-14.86,12.358
28.65,-19.091,-14.856,-4.235,0.778,-14.86,12.358
28.7,-20.058,-15.89,-4.167,0.952,-14.87,12.358
28.75,-21.006,-16.964,-4.041,1.016,-14.87,12.358
28.8,-21.933,-18.013,-3.92,0.846,-14.87,12.358
28.85,-22.836,-19.097,-3.739,1.016,-14.87,12.358
28.9,-23.713,-20.172,-3.542,0.899,-14.88,12.357
28.95,-24.562,-21.276,-3.286,1.016,-14.88,12.357
29.0,-25.38,-22.254,-3.126,0.559,-14.88,12.357
29.05,-26.164,-23.284,-2.88,1.016,-14.88,12.357
29.1,-26.914,-24.355,-2.559,1.016,-14.89,12.357
29.15,-27.626,-25.353,-2.273,0.698,-14.89,12.357
29.2,-28.3,-26.394,-1.906,1.003,-14.89,12.357
29.25,-28.933,-27.427,-1.505,0.879,-14.89,12.357
29.3,-29.524,-28.371,-1.153,0.618,-14.89,12.357
29.35,-30.072,-29.32,-0.752,0.85,-14.9,12.356
29.4,-30.576,-30.214,-0.362,0.666,-14.9,12.356
29.45,-31.035,-30.972,-0.063,0.383,-14.9,12.356
29.5,-31.448,-31.646,0.198,0.444,-14.9,12.356
29.55,-31.815,-32.278,0.464,0.516,-14.91,12.356
29.6,-32.135,-32.874,0.739,0.499,-14.91,12.356
29.65,-32.408,-33.415,1.007,0.42,-14.91,12.356
29.7,-32.635,-33.787,1.152,0.266,-14.91,12.356
29.75,-32.815,-34.277,1.461,0.786,-14.92,12.356
29.8,-32.95,-34.673,1.723,0.226,-14.92,12.356
29.85,-33.039,-34.974,1.935,0.155,-14.92,12.356
29.9,-33.084,-35.277,2.193,0.385,-14.92,12.355
29.95,-33.086,-35.564,2.479,0.329,-14.93,12.355
30.0,-33.045,-35.905,2.86,0.533,-14.93,12.355
